Method,IFA,R@15%,R@20%,R@25%,R@30%,E@15%R,E@20%R,E@25%R,E@30%R,PMI@15%,PMI@20%,PMI@25%,PMI@30%,Accuracy@5,Accuracy@10,Accuracy@15,Accuracy@20
AdaBoost,6,11,12,11,11,9,6,10,10,9,9,9,10,8,9,9,12
Bagging,5,5,3,3,2,11,7,9,9,14,11,15,16,7,8,12,6
Balanced Bagging,4,2,1,2,3,3,3,4,2,12,14,13,13,9,6,6,10
Balanced Random Forest,7,8,9,9,9,2,1,2,3,16,16,16,15,1,2,2,1
Naive Bayes,3,10,8,4,7,5,8,7,7,5,5,5,7,4,4,3,4
Extra Trees,11,3,5,5,4,10,10,5,4,8,8,8,11,12,7,7,5
Gradient Boosting,9,9,10,10,10,8,11,11,11,10,10,10,9,5,11,11,9
LightGBM,1,7,4,7,8,12,12,12,8,6,6,6,5,3,1,1,2
Logistic Regression,8,12,11,12,12,7,5,8,12,11,12,12,12,11,12,10,7
Pearson,2,1,2,1,1,1,2,1,1,15,15,11,6,2,3,4,3
Random Forest,12,6,6,8,6,4,9,6,6,7,7,7,8,10,10,8,11
XGBoost,10,4,7,6,5,6,4,3,5,13,13,14,14,6,5,5,8
deepseek-chat-Rank,13,13,13,13,13,13,13,13,13,2,2,2,2,14,14,15,14
deepseek-chat-Score,15,15,15,15,15,15,15,15,15,4,4,4,4,13,13,13,13
deepseek-reasoner-Rank,13,13,13,13,13,13,13,13,13,2,2,2,2,14,14,15,14
deepseek-reasoner-Score,16,16,16,16,16,16,16,16,16,1,1,1,1,16,16,14,16
